userid,account,uncertainty_1,uncertainty_2,likelihood_e,reduc_e,likelihood_s,reduc_s,Finished,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA,1L. NoA_1,1L. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA,1. NoA.,1M. NoA._1,1M. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1M. NoA._1,1M. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA.,1M. NoA_1,1M. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2L. Acc._1,2L. Acc._1,NoA.,1. NoA.,1H. NoA_1,1H. NoA._1,2. NoA.,2M. Acc._1,2M. Acc._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2H. Acc._1,2H. Acc._1,Acc.,1. Acc,1L. Acc._1,1L. Acc._1,2. Acc,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extro,extro_1,extro_2*,extro_2,extro_3,extro_4*,extro_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,nfc,nfc_1,nfc_2,nfc_3*,nfc_3,nfc_4*,nfc_4,nfc_5*,nfc_5,nfc_6,nfc_7*,nfc_7,nfc_8*,nfc_8,nfc_9*,nfc_9,nfc_10,nfc_11,nfc_12*,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16*,nfc_16,nfc_17*,nfc_17,nfc_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,background,pol.party,pol.party_TEXT,pol.orient_1,pol.orient_2,pol.orient_3,educ,age,gender,race,pol.exp_1,pol.exp_2,pol.exp_3,pol.exp_4,pol.exp_5,pol.exp_6,pol.exp_7,pol.exp_8,policy
23,1,3,1,29,71,73,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,29,71,1,73,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,20,0,47,1,4.75,6,3,5,6,4,4,1.75,2,3,5,1,1,7,6,6,6,2,7,5,3,5.75,5,6,2,6,2,6,2,6.25,6,5,3,7,7,1,6.055555556,6,7,6,2,2,6,6,2,6,7,1,6,2,6,2,2,7,7,1,7,7,7,7,1,6,2,7,5.444444444,5,6,7,6,2,4,4,3,5,7,1,5,6,1,1,,3,3,3,3,1,2,1,,,,,1,,1,,2
24,1,1,3,81,9,41,9,1,,,,,,,,,,,,,,,1,1,81,9,1,41,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,5.75,5,6,2,6,6,2,5.5,5,6,2,5,6,2,6,7,6,2,5,6,2,5.5,5,6,2,5,3,6,2,5.75,5,6,2,6,6,2,3.944444444,2,5,5,3,3,5,3,5,2,5,3,2,6,3,5,6,6,3,5,3,3,6,3,5,5,3,6,5.444444444,6,6,7,6,2,3,5,6,2,6,2,6,3,1,1,,2,2,2,3,1,2,1,,,,,,,,1,2
25,0,3,3,50,50,72,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,72,35,2,0.05,1,100,0,47,1,6,6,6,2,6,6,2,2.75,2,3,5,3,3,5,4,4,5,3,3,4,4,4,4,3,5,4,4,5,3,2.5,2,2,6,3,3,5,4.611111111,5,5,5,3,5,3,5,3,5,6,2,3,5,3,5,5,5,5,3,5,4,4,4,4,4,4,5,5,5,6,4,6,2,3,5,4,4,6,2,6,5,1,1,,3,4,2,3,1,1,1,,,,,1,,1,,2
26,0,1,2,45,9,30,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,45,9,1,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3.75,3,5,3,5,2,6,5.75,6,7,1,5,5,3,5.75,6,6,2,5,6,2,6.5,7,7,1,5,3,7,1,4,3,3,5,4,6,2,6.111111111,3,7,6,2,7,1,6,2,7,6,2,7,1,4,4,6,7,6,2,6,6,7,6,2,6,2,7,6,7,7,6,7,1,3,5,3,5,7,1,7,7,1,2,,7,7,5,3,1,1,1,,,,,1,1,,,2
27,0,2,3,100,30,100,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100,30,1,100,90,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,4,5,3,5,5,3,5,5.25,5,5,3,4,7,1,6.25,6,6,2,6,7,1,5.75,7,5,3,4,4,7,1,4.25,3,4,4,5,5,3,5.055555556,4,7,4,4,4,4,7,1,5,3,5,4,4,4,4,7,7,7,1,7,4,4,4,4,4,4,5,5,6,7,6,6,2,3,5,2,6,7,1,4,4,1,1,,3,7,1,2,1,1,4,,,,,,,1,,2
28,0,2,0,100,0,0,,0,,,,,,,,,,,,,,,,,,,,,,1,1,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,6,6,6,2,6,6,2,6,5,6,2,7,6,2,6,6,6,2,6,6,2,6.25,6,6,2,7,1,6,2,1.25,1,2,6,1,1,7,6.111111111,5,6,6,2,7,1,7,1,5,6,2,6,2,6,2,6,7,7,1,5,6,6,6,2,6,2,7,5.555555556,6,1,7,7,1,5,3,7,1,7,1,6,4,1,4,European liberal/democratic socialist,2,3,1,3,1,1,1,,,,,,,,1,2
29,0,1,1,80,1,70,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,1,1,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,3.25,2,4,4,4,3,5,4.25,3,6,2,3,5,3,6.25,6,7,1,6,6,2,5.25,5,6,2,5,3,5,3,4,3,3,5,4,6,2,6.055555556,6,6,6,2,6,2,7,1,5,5,3,6,2,6,2,6,6,7,1,6,7,6,5,3,7,1,6,5.777777778,6,6,7,7,1,3,5,5,3,7,1,6,5,1,3,,4,6,2,3,1,1,1,,1,,,,,,,2
30,1,1,3,62,6,81,6,1,,,,,,,,,,,,,,,1,1,62,6,1,81,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4,6,2,6,6,2,6,6,6,6,2,6,6,2,6,6,6,2,6,6,2,5,6,6,2,6,2,2,6,2.5,2,2,6,2,4,4,4.055555556,4,4,4,4,4,4,4,4,4,5,3,5,3,5,3,7,3,3,5,3,5,3,3,5,4,4,3,3.333333333,3,4,4,3,5,3,5,3,5,3,5,3,4,1,1,,3,3,3,6,1,2,1,,,,,,,1,,2
31,0,3,2,60,50,82,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,50,1,82,50,,,,,,,,0,0.10,0,100,0,12,0,7,7,7,1,7,7,1,4.75,4,5,3,6,4,4,3.5,5,3,5,3,3,5,4,3,3,5,6,2,4,4,2,2,2,6,2,2,6,4,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,2,2,6,2,2,2,2,6,2,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,,5,5,5,3,1,2,3,,,,,,,1,,2
32,0,1,3,80,3,50,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,3,1,50,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.10,0,5,1,47,1,5.25,6,3,5,6,6,2,5.25,5,5,3,6,5,3,4.75,6,4,4,5,4,4,6,6,6,2,6,2,6,2,5.75,5,7,1,5,6,2,5.5,5,7,6,2,5,3,5,3,5,3,5,5,3,5,3,7,7,5,3,7,7,7,1,7,5,3,7,6.555555556,7,7,7,7,1,3,5,7,1,7,1,7,7,1,1,,2,2,1,5,1,2,3,,,,1,1,,1,,2
33,0,2,1,50,40,70,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,40,1,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,5.25,5,6,2,5,5,3,3,2,3,5,4,3,5,6.5,6,7,1,6,7,1,5,5,6,2,4,4,5,3,5.75,5,5,3,6,7,1,5.111111111,5,7,4,4,6,2,4,4,3,4,4,5,3,5,3,7,7,4,4,5,3,7,6,2,4,4,6,4.444444444,4,6,5,4,4,3,5,4,4,6,2,4,4,1,3,,5,6,3,3,1,2,7,,,,,1,,1,,2
34,0,2,2,85,32,97,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,85,32,1,97,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,3.75,3,5,3,4,3,5,4.25,5,4,4,5,3,5,5.25,4,5,3,5,7,1,5,5,5,3,5,3,5,3,3.25,4,3,5,3,3,5,5.888888889,6,6,7,1,7,1,7,1,6,5,3,7,1,7,1,6,6,7,1,5,3,7,1,7,7,1,6,6,5,7,5,7,1,7,1,5,3,7,1,7,4,1,1,,2,3,2,5,1,2,2,,,,,,,1,,2
35,1,2,3,50,1,50,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,1,1,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,5.5,5,5,3,6,6,2,5,3,5,3,6,6,2,5.75,6,6,2,5,6,2,3.75,3,3,5,5,3,4,4,2,2,2,6,2,2,6,5.111111111,4,6,6,2,5,3,6,2,5,5,3,5,3,4,4,6,6,6,2,5,4,5,4,4,5,3,5,5.222222222,5,6,6,6,2,5,3,5,3,6,2,4,4,1,3,,5,6,4,5,1,1,1,,1,,,,,,,2
36,1,3,3,80,50,79,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,50,1,79,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,4,3,3,5,5,5,3,3.75,2,5,3,5,3,5,6.5,7,6,2,6,7,1,3.5,4,5,3,3,5,2,6,3.5,2,2,6,5,5,3,4.944444444,3,5,6,2,6,2,6,2,5,5,3,7,1,3,5,3,6,6,2,5,5,5,5,3,3,5,5,5.555555556,6,7,6,6,2,6,2,3,5,7,1,4,5,1,1,,2,2,2,3,1,1,2,,,,,,,1,,2
37,0,2,1,79,18,84,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,79,18,1,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,1,0,47,1,5.75,5,6,2,6,6,2,5,4,6,2,5,5,3,6,6,6,2,6,6,2,3.75,5,4,4,3,5,3,5,3.5,3,4,4,3,4,4,4.833333333,3,6,6,2,6,2,6,2,5,6,2,3,5,3,5,5,5,6,2,2,2,5,6,2,6,2,6,6.444444444,7,7,7,6,2,5,3,6,2,6,2,7,7,1,1,,4,4,3,2,1,1,1,,1,,,1,,1,,2
38,1,2,2,80,50,62,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,50,1,62,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,7,7,7,1,7,7,1,3,3,3,5,3,3,5,7,7,7,1,7,7,1,7,7,7,1,7,1,7,1,6.5,7,7,1,6,6,2,5.555555556,4,6,6,2,6,2,7,1,6,7,1,7,1,4,4,6,6,6,2,4,6,2,6,2,6,2,5,5.444444444,4,7,4,7,1,3,5,6,2,7,1,6,5,1,1,,2,2,1,3,1,2,1,,,,,1,,1,,2
39,1,1,3,67,7,75,7,1,,,,,,,,,,,,,,,1,1,67,7,1,75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,5.25,6,5,3,6,4,4,3.5,2,3,5,5,4,4,5.75,6,6,2,5,6,2,5.75,6,6,2,5,3,6,2,2.75,2,3,5,2,4,4,5.777777778,6,5,5,3,6,2,6,2,6,7,1,6,2,5,3,6,6,6,2,5,6,6,5,3,6,2,6,6.333333333,6,6,6,7,1,6,2,6,2,7,1,7,6,1,1,,2,3,2,3,1,1,1,,1,,,1,,1,,2
40,0,3,1,72,51,59,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,72,51,1,59,6,,,,,,,,,,,,,,,1,0.05,1,100,0,24,0,4,6,2,6,5,3,5,4.25,2,7,1,2,6,2,3,5,1,7,4,2,6,6.75,7,7,1,7,1,6,2,5,6,6,2,6,2,6,4.722222222,5,5,5,3,5,3,5,3,5,1,7,5,3,2,6,5,5,4,4,6,6,6,6,2,3,5,6,5.666666667,5,7,7,7,1,6,2,1,7,7,1,7,4,1,5,,5,5,5,5,1,2,4,,,1,1,1,,1,,2
41,0,3,3,65,80,65,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,65,80,1,65,85,1,0.10,0,100,0,47,1,4.5,3,3,5,6,6,2,3.25,4,2,6,3,4,4,5.5,6,5,3,5,6,2,6.25,7,6,2,5,3,7,1,3.5,2,2,6,5,5,3,4.777777778,4,5,7,1,5,3,3,5,4,6,2,3,5,4,4,6,6,6,2,5,3,4,3,5,5,3,7,5,5,6,5,6,2,4,4,5,3,6,2,4,4,1,3,,3,3,3,3,1,1,4,,,,,,,1,,2
42,0,1,1,81,5,66,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,81,5,1,66,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,20,0,47,1,4.5,3,6,2,5,4,4,5.5,5,6,2,6,5,3,5.75,6,5,3,6,6,2,5.75,6,6,2,5,3,6,2,3.25,3,4,4,3,3,5,5.722222222,5,6,5,3,7,1,5,3,5,4,4,4,4,7,1,7,7,7,1,7,7,7,1,7,5,3,7,5.333333333,4,6,6,6,2,4,4,5,3,6,2,6,5,1,1,,3,4,3,3,1,2,7,,,,,,,1,,2
43,0,2,3,60,15,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,15,1,100,0,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4.5,6,3,5,6,3,5,6.25,5,6,2,7,7,1,6.25,6,6,2,6,7,1,7,7,7,1,7,1,7,1,1.75,2,2,6,1,2,6,5.888888889,6,6,7,1,7,1,7,1,7,7,1,4,4,4,4,1,5,7,1,6,6,7,6,2,6,2,7,6.333333333,7,7,7,6,2,5,3,6,2,7,1,6,6,1,1,,3,3,2,3,1,1,1,,1,1,1,1,,1,,1
44,1,1,2,50,5,60,36,1,,,,,,,,1,1,50,5,1,60,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,3.5,1,3,5,5,5,3,4.5,3,6,2,5,4,4,7,7,7,1,7,7,1,5.5,5,5,3,6,2,6,2,3.75,5,2,6,6,2,6,5.888888889,4,5,7,1,7,1,7,1,6,6,2,4,4,5,3,7,7,7,1,7,6,6,4,4,5,3,6,5.444444444,6,6,6,6,2,3,5,6,2,6,2,4,6,1,1,,2,4,1,5,1,2,4,,,,,,,1,,2
45,0,3,2,50,5,50,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,5,1,50,5,,,,,,,,3,0.05,1,5,1,47,1,3,5,1,7,3,3,5,4.5,3,6,2,5,4,4,7,7,7,1,7,7,1,6.75,7,7,1,6,2,7,1,3.25,4,3,5,3,3,5,6.555555556,7,7,7,1,7,1,7,1,7,7,1,7,1,1,7,7,7,6,2,7,7,7,6,2,7,1,7,7,7,7,7,7,1,7,1,7,1,7,1,7,7,1,1,,2,2,1,3,1,2,1,,1,,,1,1,1,,2
46,0,1,0,75,5,0,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,75,5,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,5,5,3,5,6,6,2,5,4,5,3,5,6,2,5,6,5,3,4,5,3,5.75,6,5,3,6,2,6,2,3.5,3,4,4,4,3,5,5.333333333,5,5,7,1,7,1,7,1,4,3,5,5,3,5,3,5,5,7,1,5,5,5,5,3,5,3,6,5.666666667,6,6,5,5,3,5,3,6,2,6,2,6,6,1,1,,5,6,3,5,1,1,1,,1,,1,,,1,,2
47,1,3,0,50,71,0,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,71,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,4.75,5,6,2,3,5,3,6,5,6,2,6,7,1,5.5,6,6,2,4,6,2,6,6,6,2,6,2,6,2,3.25,2,2,6,4,5,3,5.444444444,6,4,4,4,6,2,6,2,4,6,2,6,2,6,2,6,6,6,2,6,6,6,6,2,2,6,6,5,5,6,7,6,2,2,6,1,7,7,1,5,6,1,5,,5,8,6,5,1,2,3,,1,,,,,1,,2
48,1,2,2,71,25,71,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,71,25,1,71,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,6,5,6,2,6,7,1,5.5,5,6,2,5,6,2,5.5,5,5,3,6,6,2,5.75,5,7,1,6,2,5,3,5,5,5,3,5,5,3,5.555555556,5,5,7,1,6,2,6,2,5,6,2,3,5,5,3,6,4,6,2,6,6,6,6,2,6,2,6,6,5,7,6,7,1,4,4,5,3,7,1,6,7,1,2,,5,6,2,2,1,2,1,,1,,,,,1,,2
49,0,1,1,80,5,81,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,5,1,81,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3.75,5,2,6,7,1,7,4,5,5,3,3,3,5,5.75,6,5,3,5,7,1,5,5,5,3,5,3,5,3,5.5,6,6,2,5,5,3,5.111111111,5,6,6,2,3,5,6,2,5,6,2,6,2,1,7,5,5,6,2,5,5,7,3,5,6,2,6,5.555555556,7,6,6,6,2,3,5,6,2,5,3,5,6,1,1,,3,4,3,5,1,2,1,,,,,1,,1,,2
50,1,3,1,50,30,80,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,30,1,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4.75,5,5,3,6,3,5,2.75,2,3,5,3,3,5,5.5,6,5,3,5,6,2,4.5,4,4,4,5,3,5,3,3.5,4,3,5,4,3,5,4.5,4,6,3,5,4,4,3,5,5,6,2,3,5,4,4,4,6,6,2,4,5,5,1,7,6,2,6,5.222222222,4,6,6,6,2,4,4,5,3,6,2,5,5,1,1,,3,5,2,3,1,1,1,,,,1,1,,1,,2
51,1,1,1,20,9,50,7,1,1,1,20,9,1,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.05,1,100,0,47,1,4.25,3,3,5,5,6,2,3,2,5,3,2,3,5,5.5,5,6,2,5,6,2,6.75,6,7,1,7,1,7,1,2,2,2,6,2,2,6,6.5,6,6,7,1,7,1,7,1,7,5,3,7,1,7,1,7,6,7,1,6,6,6,7,1,7,1,6,5.444444444,6,6,6,6,2,3,5,5,3,6,2,6,5,1,2,,6,7,2,3,1,2,1,,1,,,1,1,1,,2
52,0,2,3,10,25,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,25,1,90,10,,,,,,,,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,4.75,5,4,4,5,5,3,3.5,3,4,4,3,4,4,5,6,4,4,6,4,4,4.25,4,4,4,5,3,4,4,3,4,2,6,2,4,4,3.611111111,2,6,6,2,3,5,2,6,2,2,6,2,6,1,7,2,6,6,2,6,2,7,2,6,2,6,6,4.444444444,4,5,5,6,2,4,4,3,5,5,3,5,3,1,1,,4,3,5,2,1,2,4,,,,,,,1,,2
53,1,3,2,71,58,76,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,71,58,1,76,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5.75,7,3,5,6,7,1,6.5,6,7,1,6,7,1,2.75,2,3,5,2,4,4,2.5,1,3,5,5,3,1,7,3,1,2,6,3,6,2,4,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,6,6,2,6,6,6,6,2,6,2,6,6,4.333333333,7,7,7,1,7,1,7,1,7,1,7,7,7,1,2,,7,7,4,2,1,1,3,,1,,,,1,1,,2
54,1,1,3,80,1,3,1,1,,,,,,,,,,,,,,,1,1,80,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,1,100,0,24,0,3.5,1,6,2,1,6,2,3.5,4,5,3,2,3,5,3.75,1,6,2,1,7,1,4.5,4,3,5,5,3,6,2,6.25,6,6,2,6,7,1,4.666666667,4,6,5,3,7,1,6,2,6,2,6,5,3,5,3,7,6,7,1,6,1,6,2,6,2,6,1,5,4,6,6,6,2,5,3,6,2,6,2,2,4,1,2,,6,6,4,5,1,2,1,,,,,,,,1,2
55,0,3,1,25,60,82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,25,60,1,82,1,,,,,,,,,,,,,,,3,0.05,1,5,1,47,1,3,2,3,5,4,3,5,3,3,3,5,3,3,5,3.5,4,3,5,3,4,4,6.75,6,7,1,7,1,7,1,3.75,3,4,4,3,5,3,5.833333333,6,6,6,2,4,4,6,2,5,6,2,6,2,6,2,6,6,6,2,6,6,6,6,2,5,3,7,5.444444444,4,7,6,7,1,3,5,5,3,6,2,7,4,1,1,,2,2,2,5,1,2,4,,,,,,,,1,2
